名前:

日付:

学期:

                    都道府県県庁所在地クイズ (問題番号 15)

1. 大分県の都道府県の県庁所在地は？
 A. 青森市
 B. 宇都宮市
 C. 大分市
 D. 那覇市

2. 岐阜県の都道府県の県庁所在地は？
 A. 那覇市
 B. 岐阜市
 C. 鳥取市
 D. 広島市

3. 長崎県の都道府県の県庁所在地は？
 A. 京都市
 B. 前橋市
 C. 長崎市
 D. 山形市

4. 和歌山県の都道府県の県庁所在地は？
 A. 徳島市
 B. 和歌山市
 C. 鹿児島市
 D. 鳥取市

5. 石川県の都道府県の県庁所在地は？
 A. 札幌市
 B. 金沢市
 C. さいたま市
 D. 神戸市

6. 千葉県の都道府県の県庁所在地は？
 A. 秋田市
 B. 水戸市
 C. 千葉市
 D. 盛岡市

7. 島根県の都道府県の県庁所在地は？
 A. 那覇市
 B. 山形市
 C. 徳島市
 D. 松江市

8. 京都府の都道府県の県庁所在地は？
 A. 前橋市
 B. 和歌山市
 C. 京都市
 D. 松江市

9. 徳島県の都道府県の県庁所在地は？
 A. 神戸市
 B. 津市
 C. 徳島市
 D. 松江市

10. 宮崎県の都道府県の県庁所在地は？
 A. 高松市
 B. 千葉市
 C. 徳島市
 D. 宮崎市

11. 新潟県の都道府県の県庁所在地は？
 A. 広島市
 B. さいたま市
 C. 大阪市
 D. 新潟市

12. 鳥取県の都道府県の県庁所在地は？
 A. 鳥取市
 B. さいたま市
 C. 奈良市
 D. 大分市

13. 福岡県の都道府県の県庁所在地は？
 A. 広島市
 B. 鳥取市
 C. 福岡市
 D. 福島市

14. 山梨県の都道府県の県庁所在地は？
 A. 甲府市
 B. 金沢市
 C. 福岡市
 D. 山形市

15. 兵庫県の都道府県の県庁所在地は？
 A. 前橋市
 B. 神戸市
 C. 徳島市
 D. 奈良市

16. 静岡県の都道府県の県庁所在地は？
 A. 松山市
 B. 和歌山市
 C. 名古屋市
 D. 静岡市

17. 岩手県の都道府県の県庁所在地は？
 A. 津市
 B. 盛岡市
 C. 金沢市
 D. 富山市

18. 東京都の都道府県の県庁所在地は？
 A. 東京
 B. 山口市
 C. 富山市
 D. 鳥取市

19. 奈良県の都道府県の県庁所在地は？
 A. 静岡市
 B. 札幌市
 C. 福井市
 D. 奈良市

20. 青森県の都道府県の県庁所在地は？
 A. 宮崎市
 B. 長野市
 C. 青森市
 D. 名古屋市

21. 広島県の都道府県の県庁所在地は？
 A. 鹿児島市
 B. 高知市
 C. 広島市
 D. 神戸市

22. 山形県の都道府県の県庁所在地は？
 A. 山形市
 B. 和歌山市
 C. 津市
 D. 盛岡市

23. 沖縄県の都道府県の県庁所在地は？
 A. 前橋市
 B. 那覇市
 C. 福井市
 D. 金沢市

24. 三重県の都道府県の県庁所在地は？
 A. 福井市
 B. 長野市
 C. 津市
 D. 鹿児島市

25. 高知県の都道府県の県庁所在地は？
 A. 長崎市
 B. 鳥取市
 C. 高知市
 D. 仙台市

26. 群馬県の都道府県の県庁所在地は？
 A. 青森市
 B. 静岡市
 C. 前橋市
 D. 山形市

27. 大阪府の都道府県の県庁所在地は？
 A. 佐賀市
 B. 大阪市
 C. 福島市
 D. 福井市

28. 愛知県の都道府県の県庁所在地は？
 A. 名古屋市
 B. 和歌山市
 C. 静岡市
 D. 奈良市

29. 神奈川県の都道府県の県庁所在地は？
 A. 山形市
 B. 奈良市
 C. 京都市
 D. 横浜市

30. 滋賀県の都道府県の県庁所在地は？
 A. 横浜市
 B. 大津市
 C. 金沢市
 D. 福井市

31. 埼玉県の都道府県の県庁所在地は？
 A. さいたま市
 B. 富山市
 C. 那覇市
 D. 徳島市

32. 愛媛県の都道府県の県庁所在地は？
 A. さいたま市
 B. 大津市
 C. 松山市
 D. 甲府市

33. 長野県の都道府県の県庁所在地は？
 A. 名古屋市
 B. 青森市
 C. 長野市
 D. 佐賀市

34. 鹿児島県の都道府県の県庁所在地は？
 A. 秋田市
 B. 奈良市
 C. 水戸市
 D. 鹿児島市

35. 秋田県の都道府県の県庁所在地は？
 A. 秋田市
 B. 岡山市
 C. 静岡市
 D. 新潟市

36. 北海道の都道府県の県庁所在地は？
 A. 東京
 B. 大津市
 C. 札幌市
 D. 名古屋市

37. 岡山県の都道府県の県庁所在地は？
 A. 岡山市
 B. 大津市
 C. 山口市
 D. 和歌山市

38. 福島県の都道府県の県庁所在地は？
 A. 千葉市
 B. 福島市
 C. 京都市
 D. 前橋市

39. 福井県の都道府県の県庁所在地は？
 A. 那覇市
 B. 福井市
 C. 富山市
 D. 大分市

40. 佐賀県の都道府県の県庁所在地は？
 A. 金沢市
 B. 佐賀市
 C. 東京
 D. 京都市

41. 富山県の都道府県の県庁所在地は？
 A. 奈良市
 B. 大津市
 C. 青森市
 D. 富山市

42. 山口県の都道府県の県庁所在地は？
 A. 鹿児島市
 B. 佐賀市
 C. 福島市
 D. 山口市

43. 香川県の都道府県の県庁所在地は？
 A. 松江市
 B. 高松市
 C. 山口市
 D. 千葉市

44. 熊本県の都道府県の県庁所在地は？
 A. 長崎市
 B. 熊本市
 C. 秋田市
 D. 千葉市

45. 宮城県の都道府県の県庁所在地は？
 A. 福井市
 B. 鹿児島市
 C. 仙台市
 D. 岐阜市

46. 茨城県の都道府県の県庁所在地は？
 A. 鹿児島市
 B. 津市
 C. 金沢市
 D. 水戸市

47. 栃木県の都道府県の県庁所在地は？
 A. さいたま市
 B. 盛岡市
 C. 大津市
 D. 宇都宮市

