名前:

日付:

学期:

                    都道府県県庁所在地クイズ (問題番号 18)

1. 青森県の都道府県の県庁所在地は？
 A. 山形市
 B. 静岡市
 C. 青森市
 D. さいたま市

2. 岩手県の都道府県の県庁所在地は？
 A. 盛岡市
 B. 徳島市
 C. 千葉市
 D. 大津市

3. 島根県の都道府県の県庁所在地は？
 A. 静岡市
 B. 仙台市
 C. 山口市
 D. 松江市

4. 岡山県の都道府県の県庁所在地は？
 A. 岡山市
 B. 福井市
 C. 那覇市
 D. 千葉市

5. 埼玉県の都道府県の県庁所在地は？
 A. 神戸市
 B. さいたま市
 C. 青森市
 D. 鹿児島市

6. 新潟県の都道府県の県庁所在地は？
 A. 徳島市
 B. 新潟市
 C. 東京
 D. 秋田市

7. 福岡県の都道府県の県庁所在地は？
 A. 高知市
 B. 高松市
 C. 福岡市
 D. 岐阜市

8. 奈良県の都道府県の県庁所在地は？
 A. 岐阜市
 B. 徳島市
 C. 奈良市
 D. 大阪市

9. 鳥取県の都道府県の県庁所在地は？
 A. 宇都宮市
 B. 盛岡市
 C. 那覇市
 D. 鳥取市

10. 山形県の都道府県の県庁所在地は？
 A. 福井市
 B. 鹿児島市
 C. 大阪市
 D. 山形市

11. 山口県の都道府県の県庁所在地は？
 A. さいたま市
 B. 水戸市
 C. 山口市
 D. 京都市

12. 茨城県の都道府県の県庁所在地は？
 A. 水戸市
 B. 青森市
 C. 山口市
 D. 那覇市

13. 栃木県の都道府県の県庁所在地は？
 A. 宇都宮市
 B. 宮崎市
 C. 仙台市
 D. 秋田市

14. 愛知県の都道府県の県庁所在地は？
 A. 新潟市
 B. 名古屋市
 C. 横浜市
 D. 神戸市

15. 香川県の都道府県の県庁所在地は？
 A. 富山市
 B. 高松市
 C. 青森市
 D. 福岡市

16. 福島県の都道府県の県庁所在地は？
 A. 秋田市
 B. 福島市
 C. 福岡市
 D. 金沢市

17. 群馬県の都道府県の県庁所在地は？
 A. 前橋市
 B. 宇都宮市
 C. 那覇市
 D. 大分市

18. 宮城県の都道府県の県庁所在地は？
 A. 仙台市
 B. 富山市
 C. 青森市
 D. 松江市

19. 熊本県の都道府県の県庁所在地は？
 A. 千葉市
 B. 大阪市
 C. 熊本市
 D. 佐賀市

20. 長野県の都道府県の県庁所在地は？
 A. 甲府市
 B. 松山市
 C. 長野市
 D. 大阪市

21. 石川県の都道府県の県庁所在地は？
 A. 金沢市
 B. 広島市
 C. 千葉市
 D. 前橋市

22. 神奈川県の都道府県の県庁所在地は？
 A. 大津市
 B. 徳島市
 C. 横浜市
 D. 津市

23. 宮崎県の都道府県の県庁所在地は？
 A. 宮崎市
 B. 徳島市
 C. 熊本市
 D. 佐賀市

24. 徳島県の都道府県の県庁所在地は？
 A. 高松市
 B. 徳島市
 C. 長野市
 D. 大分市

25. 広島県の都道府県の県庁所在地は？
 A. 千葉市
 B. 新潟市
 C. 大阪市
 D. 広島市

26. 高知県の都道府県の県庁所在地は？
 A. 水戸市
 B. 千葉市
 C. 宮崎市
 D. 高知市

27. 秋田県の都道府県の県庁所在地は？
 A. 奈良市
 B. 秋田市
 C. 富山市
 D. 那覇市

28. 沖縄県の都道府県の県庁所在地は？
 A. 大分市
 B. 岡山市
 C. 那覇市
 D. 京都市

29. 東京都の都道府県の県庁所在地は？
 A. 東京
 B. 札幌市
 C. 奈良市
 D. 甲府市

30. 兵庫県の都道府県の県庁所在地は？
 A. 神戸市
 B. 大津市
 C. 金沢市
 D. 津市

31. 滋賀県の都道府県の県庁所在地は？
 A. 大分市
 B. 佐賀市
 C. 静岡市
 D. 大津市

32. 福井県の都道府県の県庁所在地は？
 A. 宮崎市
 B. 青森市
 C. 高知市
 D. 福井市

33. 大阪府の都道府県の県庁所在地は？
 A. 佐賀市
 B. 金沢市
 C. 大阪市
 D. 福島市

34. 岐阜県の都道府県の県庁所在地は？
 A. 長崎市
 B. 岐阜市
 C. 熊本市
 D. 神戸市

35. 富山県の都道府県の県庁所在地は？
 A. 高知市
 B. さいたま市
 C. 富山市
 D. 札幌市

36. 佐賀県の都道府県の県庁所在地は？
 A. 金沢市
 B. 松山市
 C. 佐賀市
 D. 山形市

37. 和歌山県の都道府県の県庁所在地は？
 A. 千葉市
 B. 和歌山市
 C. 金沢市
 D. 鹿児島市

38. 長崎県の都道府県の県庁所在地は？
 A. 秋田市
 B. 青森市
 C. 高松市
 D. 長崎市

39. 北海道の都道府県の県庁所在地は？
 A. 秋田市
 B. 鹿児島市
 C. 高知市
 D. 札幌市

40. 愛媛県の都道府県の県庁所在地は？
 A. 甲府市
 B. 名古屋市
 C. 松山市
 D. 佐賀市

41. 三重県の都道府県の県庁所在地は？
 A. 津市
 B. 大津市
 C. 徳島市
 D. 富山市

42. 静岡県の都道府県の県庁所在地は？
 A. 静岡市
 B. 岡山市
 C. 新潟市
 D. 高知市

43. 山梨県の都道府県の県庁所在地は？
 A. 京都市
 B. 高知市
 C. 福岡市
 D. 甲府市

44. 大分県の都道府県の県庁所在地は？
 A. 甲府市
 B. 鹿児島市
 C. 大分市
 D. 札幌市

45. 千葉県の都道府県の県庁所在地は？
 A. 仙台市
 B. 那覇市
 C. 千葉市
 D. 熊本市

46. 京都府の都道府県の県庁所在地は？
 A. 松山市
 B. 京都市
 C. 熊本市
 D. 静岡市

47. 鹿児島県の都道府県の県庁所在地は？
 A. 鳥取市
 B. 鹿児島市
 C. 岡山市
 D. 富山市

