名前:

日付:

学期:

                    都道府県県庁所在地クイズ (問題番号 23)

1. 千葉県の都道府県の県庁所在地は？
 A. 松江市
 B. 福岡市
 C. 千葉市
 D. 那覇市

2. 長野県の都道府県の県庁所在地は？
 A. 鹿児島市
 B. 青森市
 C. 長野市
 D. 福岡市

3. 青森県の都道府県の県庁所在地は？
 A. 徳島市
 B. 宇都宮市
 C. 青森市
 D. 那覇市

4. 埼玉県の都道府県の県庁所在地は？
 A. さいたま市
 B. 広島市
 C. 岡山市
 D. 大阪市

5. 秋田県の都道府県の県庁所在地は？
 A. 大分市
 B. 大阪市
 C. 秋田市
 D. 山形市

6. 福島県の都道府県の県庁所在地は？
 A. 福島市
 B. 鳥取市
 C. 長崎市
 D. 高松市

7. 愛知県の都道府県の県庁所在地は？
 A. 千葉市
 B. 甲府市
 C. 名古屋市
 D. 高松市

8. 山口県の都道府県の県庁所在地は？
 A. 青森市
 B. 山口市
 C. 甲府市
 D. 岡山市

9. 長崎県の都道府県の県庁所在地は？
 A. 福岡市
 B. 山口市
 C. 宇都宮市
 D. 長崎市

10. 大分県の都道府県の県庁所在地は？
 A. 宮崎市
 B. 高松市
 C. 長崎市
 D. 大分市

11. 岡山県の都道府県の県庁所在地は？
 A. 甲府市
 B. 岡山市
 C. 福井市
 D. 佐賀市

12. 石川県の都道府県の県庁所在地は？
 A. 青森市
 B. 金沢市
 C. 千葉市
 D. 徳島市

13. 富山県の都道府県の県庁所在地は？
 A. 東京
 B. 岐阜市
 C. 甲府市
 D. 富山市

14. 和歌山県の都道府県の県庁所在地は？
 A. 和歌山市
 B. 松山市
 C. 神戸市
 D. 秋田市

15. 鳥取県の都道府県の県庁所在地は？
 A. 松山市
 B. 鳥取市
 C. 名古屋市
 D. 横浜市

16. 大阪府の都道府県の県庁所在地は？
 A. 仙台市
 B. 大阪市
 C. 山口市
 D. 富山市

17. 佐賀県の都道府県の県庁所在地は？
 A. 津市
 B. 佐賀市
 C. 福岡市
 D. 山形市

18. 広島県の都道府県の県庁所在地は？
 A. 徳島市
 B. 広島市
 C. 和歌山市
 D. 神戸市

19. 香川県の都道府県の県庁所在地は？
 A. 那覇市
 B. 高松市
 C. 京都市
 D. 神戸市

20. 徳島県の都道府県の県庁所在地は？
 A. 福井市
 B. 徳島市
 C. 宮崎市
 D. 札幌市

21. 京都府の都道府県の県庁所在地は？
 A. 大分市
 B. 京都市
 C. 宮崎市
 D. 松山市

22. 静岡県の都道府県の県庁所在地は？
 A. 高知市
 B. 静岡市
 C. 金沢市
 D. 岐阜市

23. 高知県の都道府県の県庁所在地は？
 A. 松江市
 B. 鹿児島市
 C. 津市
 D. 高知市

24. 山梨県の都道府県の県庁所在地は？
 A. 甲府市
 B. 和歌山市
 C. 宇都宮市
 D. 札幌市

25. 三重県の都道府県の県庁所在地は？
 A. 鳥取市
 B. 山口市
 C. 岡山市
 D. 津市

26. 宮城県の都道府県の県庁所在地は？
 A. 仙台市
 B. 東京
 C. 富山市
 D. 甲府市

27. 山形県の都道府県の県庁所在地は？
 A. 山形市
 B. 静岡市
 C. 長崎市
 D. 神戸市

28. 東京都の都道府県の県庁所在地は？
 A. 大分市
 B. 金沢市
 C. 東京
 D. 名古屋市

29. 福岡県の都道府県の県庁所在地は？
 A. 静岡市
 B. 那覇市
 C. 福岡市
 D. 甲府市

30. 群馬県の都道府県の県庁所在地は？
 A. 前橋市
 B. 高松市
 C. 那覇市
 D. 津市

31. 奈良県の都道府県の県庁所在地は？
 A. 長崎市
 B. 秋田市
 C. 名古屋市
 D. 奈良市

32. 島根県の都道府県の県庁所在地は？
 A. 神戸市
 B. 松江市
 C. 山口市
 D. 大分市

33. 兵庫県の都道府県の県庁所在地は？
 A. 神戸市
 B. 岡山市
 C. 富山市
 D. 水戸市

34. 岩手県の都道府県の県庁所在地は？
 A. 宇都宮市
 B. 盛岡市
 C. 高知市
 D. 那覇市

35. 熊本県の都道府県の県庁所在地は？
 A. 熊本市
 B. 大分市
 C. 和歌山市
 D. 岡山市

36. 新潟県の都道府県の県庁所在地は？
 A. 岡山市
 B. 新潟市
 C. 横浜市
 D. 前橋市

37. 福井県の都道府県の県庁所在地は？
 A. 宮崎市
 B. さいたま市
 C. 福井市
 D. 松江市

38. 沖縄県の都道府県の県庁所在地は？
 A. 福岡市
 B. 福井市
 C. 大阪市
 D. 那覇市

39. 宮崎県の都道府県の県庁所在地は？
 A. 金沢市
 B. 大阪市
 C. 広島市
 D. 宮崎市

40. 栃木県の都道府県の県庁所在地は？
 A. 千葉市
 B. 宇都宮市
 C. 高知市
 D. 松山市

41. 茨城県の都道府県の県庁所在地は？
 A. 松山市
 B. 秋田市
 C. 津市
 D. 水戸市

42. 滋賀県の都道府県の県庁所在地は？
 A. 神戸市
 B. 名古屋市
 C. 山口市
 D. 大津市

43. 愛媛県の都道府県の県庁所在地は？
 A. 福岡市
 B. 宮崎市
 C. 松山市
 D. 仙台市

44. 鹿児島県の都道府県の県庁所在地は？
 A. 鹿児島市
 B. 水戸市
 C. 宮崎市
 D. 徳島市

45. 岐阜県の都道府県の県庁所在地は？
 A. 岐阜市
 B. 松江市
 C. 山形市
 D. 佐賀市

46. 神奈川県の都道府県の県庁所在地は？
 A. 松山市
 B. 和歌山市
 C. 横浜市
 D. 奈良市

47. 北海道の都道府県の県庁所在地は？
 A. 札幌市
 B. 前橋市
 C. 福井市
 D. 松江市

