名前:

日付:

学期:

                    都道府県県庁所在地クイズ (問題番号 8)

1. 富山県の都道府県の県庁所在地は？
 A. 横浜市
 B. 鹿児島市
 C. 富山市
 D. 新潟市

2. 宮崎県の都道府県の県庁所在地は？
 A. 松江市
 B. 前橋市
 C. 宮崎市
 D. 津市

3. 広島県の都道府県の県庁所在地は？
 A. 広島市
 B. 福井市
 C. 富山市
 D. 松江市

4. 香川県の都道府県の県庁所在地は？
 A. 高松市
 B. 広島市
 C. 福島市
 D. 岡山市

5. 島根県の都道府県の県庁所在地は？
 A. 松江市
 B. 水戸市
 C. 山形市
 D. 新潟市

6. 栃木県の都道府県の県庁所在地は？
 A. 金沢市
 B. 宇都宮市
 C. 大分市
 D. 前橋市

7. 佐賀県の都道府県の県庁所在地は？
 A. 佐賀市
 B. 福井市
 C. 松山市
 D. 金沢市

8. 鳥取県の都道府県の県庁所在地は？
 A. 鳥取市
 B. 岐阜市
 C. 宇都宮市
 D. 名古屋市

9. 福島県の都道府県の県庁所在地は？
 A. 高松市
 B. 福島市
 C. 津市
 D. 広島市

10. 沖縄県の都道府県の県庁所在地は？
 A. 大津市
 B. 青森市
 C. 札幌市
 D. 那覇市

11. 福岡県の都道府県の県庁所在地は？
 A. 津市
 B. 福岡市
 C. 那覇市
 D. 高知市

12. 青森県の都道府県の県庁所在地は？
 A. 大阪市
 B. 長崎市
 C. 山形市
 D. 青森市

13. 奈良県の都道府県の県庁所在地は？
 A. 山口市
 B. 熊本市
 C. 水戸市
 D. 奈良市

14. 群馬県の都道府県の県庁所在地は？
 A. 前橋市
 B. 福井市
 C. 徳島市
 D. さいたま市

15. 山形県の都道府県の県庁所在地は？
 A. 福島市
 B. 秋田市
 C. 山形市
 D. 金沢市

16. 京都府の都道府県の県庁所在地は？
 A. 山口市
 B. 京都市
 C. 大津市
 D. 静岡市

17. 新潟県の都道府県の県庁所在地は？
 A. 高知市
 B. 新潟市
 C. 甲府市
 D. 静岡市

18. 熊本県の都道府県の県庁所在地は？
 A. 熊本市
 B. 宮崎市
 C. 大分市
 D. 高松市

19. 長野県の都道府県の県庁所在地は？
 A. 鳥取市
 B. 長野市
 C. 山口市
 D. 富山市

20. 神奈川県の都道府県の県庁所在地は？
 A. 横浜市
 B. 福井市
 C. さいたま市
 D. 鳥取市

21. 愛知県の都道府県の県庁所在地は？
 A. 山口市
 B. 京都市
 C. 神戸市
 D. 名古屋市

22. 岩手県の都道府県の県庁所在地は？
 A. 千葉市
 B. 大分市
 C. 盛岡市
 D. 福岡市

23. 埼玉県の都道府県の県庁所在地は？
 A. さいたま市
 B. 松山市
 C. 盛岡市
 D. 横浜市

24. 千葉県の都道府県の県庁所在地は？
 A. 千葉市
 B. 静岡市
 C. 山口市
 D. 宮崎市

25. 和歌山県の都道府県の県庁所在地は？
 A. 徳島市
 B. 佐賀市
 C. 和歌山市
 D. 福島市

26. 秋田県の都道府県の県庁所在地は？
 A. 東京
 B. 秋田市
 C. 前橋市
 D. 佐賀市

27. 岐阜県の都道府県の県庁所在地は？
 A. 松江市
 B. 岐阜市
 C. 那覇市
 D. 大津市

28. 徳島県の都道府県の県庁所在地は？
 A. 徳島市
 B. 山口市
 C. 那覇市
 D. 大津市

29. 岡山県の都道府県の県庁所在地は？
 A. 岡山市
 B. 高知市
 C. 新潟市
 D. 長崎市

30. 北海道の都道府県の県庁所在地は？
 A. 岐阜市
 B. 山形市
 C. 札幌市
 D. 山口市

31. 大分県の都道府県の県庁所在地は？
 A. 大分市
 B. 千葉市
 C. 京都市
 D. 熊本市

32. 愛媛県の都道府県の県庁所在地は？
 A. 岐阜市
 B. 長野市
 C. 東京
 D. 松山市

33. 山梨県の都道府県の県庁所在地は？
 A. 高松市
 B. 松山市
 C. 甲府市
 D. 宮崎市

34. 兵庫県の都道府県の県庁所在地は？
 A. 甲府市
 B. 福井市
 C. 神戸市
 D. 東京

35. 山口県の都道府県の県庁所在地は？
 A. 仙台市
 B. 福岡市
 C. 山口市
 D. 水戸市

36. 大阪府の都道府県の県庁所在地は？
 A. 水戸市
 B. 徳島市
 C. 大阪市
 D. 宇都宮市

37. 福井県の都道府県の県庁所在地は？
 A. 鹿児島市
 B. 福井市
 C. 静岡市
 D. 熊本市

38. 東京都の都道府県の県庁所在地は？
 A. 青森市
 B. 鳥取市
 C. 大津市
 D. 東京

39. 長崎県の都道府県の県庁所在地は？
 A. 京都市
 B. 宇都宮市
 C. 盛岡市
 D. 長崎市

40. 茨城県の都道府県の県庁所在地は？
 A. 長崎市
 B. 松山市
 C. 水戸市
 D. 前橋市

41. 石川県の都道府県の県庁所在地は？
 A. 甲府市
 B. 高松市
 C. 福島市
 D. 金沢市

42. 三重県の都道府県の県庁所在地は？
 A. 津市
 B. 宇都宮市
 C. 岐阜市
 D. 静岡市

43. 宮城県の都道府県の県庁所在地は？
 A. 福井市
 B. 神戸市
 C. 仙台市
 D. 鳥取市

44. 高知県の都道府県の県庁所在地は？
 A. 大津市
 B. 徳島市
 C. 高知市
 D. 札幌市

45. 滋賀県の都道府県の県庁所在地は？
 A. 山口市
 B. 宇都宮市
 C. 大津市
 D. 福岡市

46. 静岡県の都道府県の県庁所在地は？
 A. 札幌市
 B. 那覇市
 C. 熊本市
 D. 静岡市

47. 鹿児島県の都道府県の県庁所在地は？
 A. 山口市
 B. 和歌山市
 C. 鹿児島市
 D. 静岡市

